,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"On economics, Donald Trump is just Mitch McConnell with tariffs.","There was a lot of breathless speculation before Tuesday’s presidential primaries in Michigan, but the actual results didn’t clarify the two most important questions: How many “uncommitted” voters angry about President Biden’s approach to the war in Gaza will abstain in November, even though Donald Trump would surely be much more supportive of Benjamin Netanyahu than Biden? And how many blue-collar workers will support Trump in the false belief that he’s on their side?",2024-03-01T00:00:08+0000,article,Opinion,Op-Ed,Who Really Stands With American Workers?,"Michigan;Primaries and Caucuses;Biden, Joseph R Jr;Trump, Donald J;Netanyahu, Benjamin;Presidential Election of 2024;United Automobile Workers;Republican Party;Organized Labor;Wages and Salaries"
1,"Donald Trump didn’t remake the Republican Party. He merely restored the pessimistic, isolationist version from decades ago.","I’ve recently been reading about Warren Buffett’s father, Howard Buffett, a four-term Republican congressman from Nebraska. He seems to have been a very good father, but his political worldview was predicated on a deep pessimism. He was so convinced that federal spending was ruining the country that he bought a farm so that his family could feed itself while everyone else starved. He predicted that all government bonds would soon be worthless and bought his daughters gold jewelry so that they would have something of value after the dollar became worthless.",2024-03-01T00:00:09+0000,article,Opinion,Op-Ed,The G.O.P. Returns to Its Bad Old Self,"United States Politics and Government;United States International Relations;Republican Party;Protectionism (Trade);World War I (1914-18);World War II (1939-45);Buffett, Howard H;Roosevelt, Franklin Delano;Eisenhower, Dwight David;Reagan, Ronald Wilson;Trump, Donald J"
2,"Palestinian and Israeli officials offered differing accounts of a deadly scene in northern Gaza, in which local health officials said more than 100 people were killed.","Israeli forces opened fire on Thursday as a crowd gathered near a convoy of aid trucks in Gaza City in a chaotic scene in which scores were killed and injured, according to Gazan officials and the Israeli military, which attributed most of the deaths to a stampede.",2024-03-01T00:00:22+0000,article,World,News,"As Hungry Gazans Crowd an Aid Convoy, a Crush of Bodies, Israeli Gunshots and a Deadly Toll",Israel-Gaza War (2023- );Israel;Defense and Military Forces;Gaza Strip;Palestinians;Civilian Casualties;Deaths (Fatalities);Humanitarian Aid;Food;Shortages;Hamas;Terrorism;United States International Relations
3,The hit Netflix dating show seems to prove that looks matter as much as ever.,"In the sixth season of the Netflix series “Love Is Blind,” one contestant, Chelsea, implied — through the walls of a self-contained dating pod — that she had a celebrity look-alike.",2024-03-01T00:04:32+0000,article,Style,News,"After Six Seasons, Viewers Have an Answer: No, Love Is Not Blind",Dating and Relationships;Love Is Blind (TV Program);Beauty (Concept)
4,"The Alabama senator, the youngest Republican woman to be elected to the Senate, is viewed as a rising star in an aging, male-dominated party, and as a contrast to President Biden, who is nearly four decades older.","Republicans have chosen Senator Katie Britt of Alabama to deliver their response to President Biden’s State of the Union address next week, turning to one of their youngest members of Congress to burnish the image of their aging, male-dominated party and draw a contrast with a president nearly 40 years older.",2024-03-01T00:12:29+0000,article,U.S.,News,Katie Britt to Deliver Republican Response to Biden’s State of the Union,"United States Politics and Government;State of the Union Message (US);Age, Chronological;In Vitro Fertilization;Birth Control and Family Planning;Republican Party;Senate;Biden, Joseph R Jr;Britt, Katie (1982- );Trump, Donald J;Alabama;Mississippi"
5,Fox News and CNN aired both men’s remarks in full; MSNBC carried neither one live.,Election Day is eight months away. But television viewers on Thursday afternoon were treated to their first glimpse of a political split screen that is likely to dominate cable news coverage for the rest of the campaign.,2024-03-01T00:16:47+0000,article,Business Day,News,How Cable News Handled Biden and Trump at the Southern Border,"Television;Presidential Election of 2024;News and News Media;CNN;MSNBC;Fox News Channel;Hannity, Sean;MacCallum, Martha;Nye, Bill;Watters, Jesse;Eagle Pass (Tex)"
6,"The U.S. regulator opened its inquiry after the board unexpectedly fired the company’s chief executive, Sam Altman, in November.","The Securities and Exchange Commission began an inquiry into OpenAI soon after the company’s board of directors unexpectedly removed Sam Altman, its chief executive, at the end of last year, three people familiar with the inquiry said.",2024-03-01T00:43:02+0000,article,Technology,News,S.E.C. Is Investigating OpenAI Over Its Board’s Actions,"Artificial Intelligence;Computers and the Internet;Boards of Directors;Regulation and Deregulation of Industry;OpenAI Labs;Altman, Samuel H;Securities and Exchange Commission"
7,"The lender said its earnings were far weaker than it had earlier stated, and it disclosed the discovery of “material weaknesses” in its internal controls.","New York Community Bank, the lender teetering under mounting real-estate-related losses, shared several pieces of fresh bad news on Thursday: Its fourth-quarter losses were $2.4 billion worse than it had earlier stated; its chief executive and an allied board member are out; and the bank has identified what it called “material weaknesses in internal controls.”",2024-03-01T00:54:58+0000,article,Business Day,News,New York Community Bank Reports $2.4 Billion More in Losses as C.E.O. Resigns,Banking and Financial Institutions;Appointments and Executive Changes;Company Reports;New York Community Bancorp Inc.;Signature Bank
8,Mapping the area where scores of people were killed and injured as a convoy of trucks tried to deliver aid to northern Gaza.,Mapping the area where scores of people were killed and injured as a convoy of trucks tried to deliver aid to northern Gaza.,2024-03-01T00:58:44+0000,multimedia,World,Interactive Feature,What We Know About the Deaths Near the Gaza Aid Convoy,Israel-Gaza War (2023- );Palestinians;Deaths (Fatalities);Humanitarian Aid;Defense and Military Forces;Civilian Casualties;Gaza Strip;Israel
9,A federal judge gave the settlement preliminarily approval nearly a decade after a class-action lawsuit accused the city of wrongfully jailing plaintiffs for traffic tickets and other minor offenses.,"The City of Ferguson, Mo., has agreed to pay $4.5 million to settle a federal lawsuit that accused it of violating the constitutional rights of thousands of people who said they were jailed without due process because they could not pay fines.",2024-03-01T01:13:00+0000,article,U.S.,News,"Ferguson, Mo., Agrees to Pay $4.5 Million to Settle ‘Debtors’ Prison’ Suit","Ferguson (Mo);Suits and Litigation (Civil);Police Brutality, Misconduct and Shootings;Fines (Penalties);Human Rights and Human Rights Violations;Compensation for Damages (Law);Prisons and Prisoners;Poverty;Brown, Michael (1996-2014);Missouri;St Louis County (Mo);internal-storyline-no"
10,Firefighters rescued people from the charred seven-story building in the capital of Dhaka.,Firefighters rescued people from the charred seven-story building in the capital of Dhaka.,2024-03-01T01:44:05+0000,multimedia,World,Video,Deadly Bangladesh Fire Breaks Out at Mall,Fires and Firefighters;Buildings (Structures);Shopping Centers and Malls;Deaths (Fatalities);Bangladesh;Dhaka (Bangladesh)
11,"Officials said the multistory fire broke out just before 10 p.m. on Thursday. The blaze left dozens injured, many in critical condition.","A fire ripped through a shopping mall in Dhaka, the capital of Bangladesh, late Thursday, killing at least 46 people and leaving dozens of others injured, officials said.",2024-03-01T02:07:23+0000,article,World,News,Fire in Bangladeshi Shopping Mall Kills Dozens,Fires and Firefighters;Deaths (Fatalities);Accidents and Safety;Buildings (Structures);Shopping Centers and Malls
